doc_id,schema,dokument_art,dokument_typ,institution,aktenzeichen,datum,fundstelle,vorinstanz,norm_vorinstanz_aktenzeichen,norm_kuerzel,titel,leitsatz,gruende,rthema,quelle
1671881,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,I-ZR-18/18,2018-10-11,MDR-2019-0041; NJW-RR-2018-1521; VersR-2019-0123; WM-2019-0555,"LG Leipzig vom 28.06.2017,; OLG Dresden vom 10.01.2018,",2-HKO-2181/16; 13-U-1158/17,CMR: 23/3; CMR: 25/1,Berechnung der Haftungshöchstsumme im Falle der Entwertung eines Gutes bei einer der CMR unterfallenden Beförderung; Hinzurechnung des Gewichts des Verpackungsmittels oder Lademittels bei der Berechnung der Haftungshöchstsumme,"Bei einer der CMR unterfallenden Beförderung ist im Falle der Entwertung des Gutes bei der Berechnung der Haftungshöchstsumme gemäß Art. 25 Abs. 2 Buchst. b CMR in Verbindung mit Art. 23 Abs. 3 CMR das Gewicht des Verpackungs- oder Lademittels nicht hinzuzurechnen, wenn dieses unbeschädigt geblieben ist und ohne Einschränkung für weitere Transporte verwendet werden kann.",,Handelsrecht Gesellschaftsrecht,Deubner
1578809,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VI-ZR-114/11,2012-03-20,MDR-2012-0642; NJW-2012-1730; NZV-2012-0327,"LG Aachen vom 19.08.2010,; OLG Köln vom 16.03.2011,",16-U-93/10,StVG:17/1; StVG:17/4; BGB:254; BGB:823/1,Schmerzensgeldanspruch wegen Tötung des eigenen Hundes durch eine andere Person auf Grund eines Verkehrsunfalls; Schmerzensgeldanspruch bei psychischen Gesundheitsbeeinträchtigungen auf Grund der Verletzung von Tieren,Die Rechtsprechung zu Schmerzensgeldansprüchen in Fällen psychisch vermittelter Gesundheitsbeeinträchtigungen mit Krankheitswert bei der Verletzung oder Tötung von Angehörigen oder sonst nahestehenden Personen (sog. Schockschäden) ist nicht auf Fälle psychischer Gesundheitsbeeinträchtigungen im Zusammenhang mit der Verletzung oder Tötung von Tieren zu erstrecken.,,Schadensersatz; SchuldrechtAT,Deubner
1501312,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,IV-ZR-19/00,2001-03-28,DB-2001-2038; MDR-2001-0866,OLG Köln; LG Köln,,BGB:651k; AGBG:9,Formularmäßige Einschränkung einer Reiseversicherung,"In einem Versicherungsvertrag zwischen Reiseveranstalter und Versicherer, mit dem der Reiseveranstalter seiner Verpflichtung aus § 651k BGB zur Absicherung des Risikos der Zahlungsunfähigkeit oder Insolvenz entsprechen will, sind Klauseln unwirksam, die den Versicherungsschutz des Reisenden für Anzahlungen auf Zahlungen bis zu einem bestimmten Höchstbetrag und für weitere Zahlungen auf solche beschränken, die binnen bestimmter Frist vor Reisebeginn erfolgen.",,Reisevertrag; SchuldrechtAT,Deubner
0965652,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,XI-ZR-233/12,2013-10-01,,LG Frankfurt am; OLG Frankfurt am,Main-vom-19/03; 2-20-O-414/08; Main-vom-23/05,ZPO:562/1,Verletzung von Aufklärungspflichten einer darlehensgebenden Bank über deren Provisionsanspruch aus dem Zeichnungskapital beim Erwerb von GmbH- Anteilen,,,Zivilverfahrensrecht,Deubner
1528780,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,X-ZR-114/00,2003-09-30,,OLG Düsseldorf; LG Düsseldorf,,ZPO:286,"""Blasenfreie Gummibahn II""; Verpflichtung der nicht beweisbelasteten Partei zur Information des Gegners","Nach den Grundsätzen von Treu und Glauben kann sich eine Verpflichtung der nicht beweisbelasteten Partei ergeben, dem Gegner gewisse Informationen zur Erleichterung seiner Beweisführung zu bieten, wozu namentlich die Spezifizierung von Tatsachen gehören kann, wenn und soweit diese der mit der Beweisführung belasteten Partei nicht oder nur unter unverhältnismäßigen Erschwerungen zugänglich sind, während ihre Offenlegung für den Gegner sowohl ohne weiteres möglich als auch zumutbar erscheint. Dieser Grundsatz findet auch im Patentverletzungsprozeß Anwendung.",,Zivilverfahrensrecht,Deubner
1543121,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,IV-ZR-47/04,2005-07-13,FamRZ-2005-1555,OLG Koblenz - 29.1.2004,,ZPO:531/2/1/3,Zulassung des neuen Vorbringens gemäß § 531 Abs. 2 Satz 1 Nr. 3 ZPO,,,Zivilverfahrensrecht,Deubner
1534236,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VI-ZR-365/03,2004-11-30,BGHReport-2005-0360; MDR-2005-0390; NJW-2005-0356; NZV-2005-0139; VersR-2005-0380,LG Duisburg - 4.12.2003; AG Duisburg,,BGB:823; BGB:828/2; BGB:249,Haftung eines Kindes für die Beschädigung eines Fahrzeugs im Straßenverkehr; Erstattungsfähigkeit der Kosten eines Sachverständigengutachtens,"a) Das Haftungsprivileg des § 828 Abs. 2 Satz 1 BGB greift nur ein, wenn sich bei der gegebenen Fallkonstellation eine typische Überforderungssituation des Kindes durch die spezifischen Gefahren des motorisierten Verkehrs realisiert hat (vgl. Senatsurteil vom 30. November 2004 -; b) Für die Beurteilung, ob die Kosten eines Sachverständigengutachtens zum erforderlichen Herstellungsaufwand gehören und vom Schädiger zu ersetzen sind, kann im Rahmen tatrichterlicher Würdigung auch die von dem Gutachter ermittelte Schadenshöhe berücksichtigt werden.",,Schadensersatz; SchuldrechtAT,Deubner
1524025,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,X-ZR-50/01,2003-01-07,BGHReport-2003-0830,OLG Brandenburg,,ZPO:301; ZPO:304/1,Zulässigkeit eines Grund- und eines Teilurteils; Abgrenzung der Erläuterung eines Angebots von der Neukalkulation,,,Zivilverfahrensrecht,Deubner
1579336,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,VI-ZR-37/11,2012-05-08,BauR-2012-1441; MDR-2012-0839; NZV-2012-0477,"AG Michelstadt vom 08.07.2010,; LG Darmstadt vom 15.12.2010,",1-C-225/10; 21-S-143/10,BGB:249/2/1; ZPO:287,Schätzung einer Auslagenpauschale für Aufwendungen eines Geschädigten,Zur Schätzung einer Auslagenpauschale für Aufwendungen des Geschädigten.,,Schadensersatz; SchuldrechtAT; Zivilverfahrensrecht,Deubner
1585833,rspvwa,Urteil,Obere Rechtsprechung,Bundesgerichtshof,I-ZR-61/12,2013-04-11,VersR-2014-0726,"LG Düsseldorf vom 11.02.2011,; OLG Düsseldorf vom 29.02.2012,",,HGB:407; HGB:425/1; HGB:429/2/1; HGB:431/1; HGB:459,Ziffer 23.1.3 ADSp als lex specialis gegenüber Ziffer 23.1.2 ADSp bei Abschluss eines Verkehrsvertrages über einen Multimodaltransport unter Einschluss einer Seebeförderung,"Bei Abschluss eines Verkehrsvertrages über einen Multimodaltransport unter Einschluss einer Seebeförderung ist Ziffer 23.1.3 ADSp lex specialis gegenüber Ziffer 23.1.2 ADSp. Für die Anwendung von Ziffer 23.1.3 ADSp kommt es nicht darauf an, ob der Schadensort bekannt ist und auf welcher Teilstrecke Landoder Seebeförderung der Schaden eingetreten ist.",,Handelsrecht Gesellschaftsrecht,Deubner
